,City,Location,lon,lat
31,"Los Angeles, CA","(34.054935, -118.244476)",34.054935,-118.244476
32,"Burbank, CA","(34.1816482, -118.3258554)",34.1816482,-118.3258554
33,"Beverly Hills, CA","(34.0736204, -118.4003563)",34.0736204,-118.4003563
34,"Culver City, CA","(34.0211224, -118.3964665)",34.0211224,-118.3964665
35,"Pasadena, CA","(34.1476452, -118.1444779)",34.1476452,-118.1444779
36,"Santa Monica, CA","(34.019657, -118.487549)",34.019657,-118.487549
37,"El Segundo, CA","(33.912594, -118.383179)",33.912594,-118.383179
38,"Cerritos, CA","(33.8644291, -118.0539323)",33.8644291,-118.0539323
39,"Fullerton, CA","(33.8708215, -117.9294165)",33.8708215,-117.9294165
40,"Woodland Hills, CA","(34.1683386, -118.6059197)",34.1683386,-118.6059197
41,"Brea, CA","(33.9170444, -117.8888557)",33.9170444,-117.8888557
42,"Torrance, CA","(33.8358492, -118.3406288)",33.8358492,-118.3406288
43,"Norwalk, CA","(33.9092802, -118.0849169)",33.9092802,-118.0849169
44,"Glendale, CA","(34.142498, -118.248596)",34.142498,-118.248596
45,"Harbor City, CA","(33.7951998, -118.2908294)",33.7951998,-118.2908294
46,"San Gabriel Valley, CA","(34.0991325, -118.1086041)",34.0991325,-118.1086041
47,"Monrovia, CA","(34.1483499, -118.0014517)",34.1483499,-118.0014517
48,"Calabasas, CA","(34.1446643, -118.6440973)",34.1446643,-118.6440973
49,"Sun Valley, CA","(34.2175042, -118.3703576)",34.2175042,-118.3703576
50,"West Hollywood, CA","(34.0900091, -118.3617443)",34.0900091,-118.3617443
51,"Hermosa Beach, CA","(33.86428, -118.39591)",33.86428,-118.39591
52,"Montebello, CA","(34.0159398, -118.111975)",34.0159398,-118.111975
53,"Monterey Park, CA","(34.051522, -118.129807)",34.051522,-118.129807
54,"Los Alamitos, CA","(33.8038865, -118.0772433)",33.8038865,-118.0772433
55,"Long Beach, CA","(33.78538945, -118.158049315311)",33.78538945,-118.158049315311
56,"Sherman Oaks, CA","(34.1508718, -118.4489865)",34.1508718,-118.4489865
57,"S el Monte, CA","(34.0519548, -118.0467339)",34.0519548,-118.0467339
58,"Venice, CA","(33.9859381, -118.466674894601)",33.9859381,-118.466674894601
59,"Rosemead, CA","(34.0676169, -118.0879763)",34.0676169,-118.0879763
60,"Westminster, CA","(33.7578725, -117.9859054)",33.7578725,-117.9859054
61,"Playa Vista, CA","(33.9727898, -118.4275776)",33.9727898,-118.4275776
62,"Industry, CA","(33.996821, -117.886110575478)",33.996821,-117.886110575478
63,"Gardena, CA","(33.888658, -118.307648)",33.888658,-118.307648
64,"Northridge, CA","(34.2285918, -118.5369316)",34.2285918,-118.5369316
65,"Seattle, WA","(47.6038321, -122.3300624)",47.6038321,-122.3300624
66,"Bellevue, WA","(47.6144219, -122.1923372)",47.6144219,-122.1923372
67,"Redmond, WA","(47.6694141, -122.1238767)",47.6694141,-122.1238767
68,"Woodinville, WA","(47.7545827, -122.1588902)",47.7545827,-122.1588902
69,"Kirkland, WA","(47.6859573, -122.1920249)",47.6859573,-122.1920249
70,"Everett, WA","(47.9673056, -122.2013998)",47.9673056,-122.2013998
71,"Tukwila, WA","(47.4627356, -122.2559156)",47.4627356,-122.2559156
72,"Kent, WA","(47.3826903, -122.2270272)",47.3826903,-122.2270272
73,"Beaverton, OR","(45.4871723, -122.8037804)",45.4871723,-122.8037804
74,"Portland, OR","(45.5202471, -122.6741949)",45.5202471,-122.6741949
75,"Lake Oswego, OR","(45.4206749, -122.6706498)",45.4206749,-122.6706498
76,"Vancouver, WA","(45.6306954, -122.6744557)",45.6306954,-122.6744557
77,"Hillsboro, OR","(45.5228939, -122.989827)",45.5228939,-122.989827
78,"Wilsonville, OR","(45.3099218, -122.7681602)",45.3099218,-122.7681602
79,"Tualatin, OR","(45.3838546, -122.7663518)",45.3838546,-122.7663518
80,"Oregon City, OR","(45.3573429, -122.6067583)",45.3573429,-122.6067583
81,"McLean, VA","(38.9342888, -77.1776327)",38.9342888,-77.1776327
82,"Chantilly, VA","(38.8943792, -77.4305118)",38.8943792,-77.4305118
83,"Washington, DC","(38.8949549, -77.0366456)",38.8949549,-77.0366456
84,"Bethesda, MD","(38.9848265, -77.0946459)",38.9848265,-77.0946459
85,"Vienna, VA","(38.9013013, -77.2651585)",38.9013013,-77.2651585
86,"Herndon, VA","(38.9695316, -77.3859479)",38.9695316,-77.3859479
87,"Rockville, MD","(39.0840054, -77.1527573)",39.0840054,-77.1527573
88,"Reston, VA","(38.9584018, -77.3579743)",38.9584018,-77.3579743
89,"Alexandria, VA","(38.8051095, -77.0470229)",38.8051095,-77.0470229
90,"Merrifield, VA","(38.8742611, -77.2266208)",38.8742611,-77.2266208
91,"Gaithersburg, MD","(39.1434406, -77.2013705)",39.1434406,-77.2013705
92,"Fairfax, VA","(38.8462236, -77.3063733)",38.8462236,-77.3063733
93,"Tysons, VA","(38.918592, -77.2314723)",38.918592,-77.2314723
94,"Arlington, VA","(38.8903961, -77.0841585)",38.8903961,-77.0841585
95,"Clinton, MD","(38.7651145, -76.8983059)",38.7651145,-76.8983059
96,"Bowie, MD","(38.9429659, -76.731234)",38.9429659,-76.731234
97,"Tysons Corner, VA","(38.918592, -77.2314723)",38.918592,-77.2314723
98,"Germantown, MD","(39.1731621, -77.2716502)",39.1731621,-77.2716502
99,"Springfield, VA","(38.7890522, -77.1870368)",38.7890522,-77.1870368
100,"College Park, MD","(38.980666, -76.9369189)",38.980666,-76.9369189
101,"Chicago, IL","(41.8755546, -87.6244212)",41.8755546,-87.6244212
102,"Evanston, IL","(42.0447388, -87.6930459)",42.0447388,-87.6930459
103,"Elk Grove Village, IL","(42.0041236, -87.9706457)",42.0041236,-87.9706457
104,"Wood Dale, IL","(41.9633625, -87.9789562)",41.9633625,-87.9789562
105,"Rolling Meadows, IL","(42.0841936, -88.0131275)",42.0841936,-88.0131275
106,"Deerfield, IL","(42.1711365, -87.8445119)",42.1711365,-87.8445119
107,"Park Ridge, IL","(42.0111412, -87.8406192)",42.0111412,-87.8406192
108,"Tinley Park, IL","(41.5733669, -87.7844944)",41.5733669,-87.7844944
109,"Glenview, IL","(42.0700662, -87.8114044)",42.0700662,-87.8114044
110,"Bolingbrook, IL","(41.7003302, -88.0717708)",41.7003302,-88.0717708
111,"Westchester, IL","(41.1763139, -73.7907554)",41.1763139,-73.7907554
112,"Northbrook, IL","(42.1299234, -87.8299476)",42.1299234,-87.8299476
113,"Oak Brook, IL","(41.8328085, -87.9289504)",41.8328085,-87.9289504
114,"Hammond, IN","(41.5833658, -87.500043)",41.5833658,-87.500043
115,"Rosemont, IL","(41.9941334, -87.8756737)",41.9941334,-87.8756737
116,"Mount Prospect, IL","(42.0664167, -87.9372908)",42.0664167,-87.9372908
117,"Hillside, IL","(41.8778084, -87.9028398)",41.8778084,-87.9028398
118,"Lincolnwood, IL","(42.0055985, -87.735572)",42.0055985,-87.735572
119,"Homewood, IL","(44.65592325, -75.5881667806019)",44.65592325,-75.5881667806019
120,"Des Plaines, IL","(42.0415823, -87.8873916)",42.0415823,-87.8873916
121,"Bedford Park, IL","(41.7628101, -87.8000551)",41.7628101,-87.8000551
122,"Northfield, IL","(42.09975, -87.7808967)",42.09975,-87.7808967
123,"Schaumburg, IL","(42.0333608, -88.083406)",42.0333608,-88.083406
124,"Glendale Heights, IL","(41.9103068, -88.0717353)",41.9103068,-88.0717353
125,"Oak Park, IL","(41.8850317, -87.7845025)",41.8850317,-87.7845025
126,"Downers Grove, IL","(41.7946074, -88.0068999)",41.7946074,-88.0068999
127,"Addison, IL","(41.931696, -87.9889556)",41.931696,-87.9889556
128,"Niles, IL","(42.0289319, -87.8122348)",42.0289319,-87.8122348
129,"Lisle, IL","(41.801141, -88.0747875)",41.801141,-88.0747875
130,"Willowbrook, IL","(33.9195386, -118.2674354)",33.9195386,-118.2674354
131,"Harvey, IL","(41.6100344, -87.6467132)",41.6100344,-87.6467132
132,"Denver, CO","(39.7391536, -104.9847034)",39.7391536,-104.9847034
133,"Lakewood, CO","(39.6246085, -105.084204002224)",39.6246085,-105.084204002224
134,"Boulder, CO","(40.0149856, -105.2705456)",40.0149856,-105.2705456
135,"Centennial, CO","(39.579155, -104.8769227)",39.579155,-104.8769227
136,"Lone Tree, CO","(39.5360997, -104.8963682)",39.5360997,-104.8963682
137,"Aurora, CO","(39.729432, -104.8319196)",39.729432,-104.8319196
138,"Littleton, CO","(39.613321, -105.0166498)",39.613321,-105.0166498
139,"Highlands Ranch, CO","(39.5538771, -104.9694264)",39.5538771,-104.9694264
140,"Broomfield, CO","(39.9379892, -105.0587294)",39.9379892,-105.0587294
141,"Greenwood Village, CO","(39.6172101, -104.9508141)",39.6172101,-104.9508141
142,"Englewood, CO","(39.6482059, -104.9879641)",39.6482059,-104.9879641
143,"Westminster, CO","(39.8366528, -105.0372046)",39.8366528,-105.0372046
144,"Golden, CO","(39.755543, -105.2210997)",39.755543,-105.2210997
145,"Louisville, CO","(39.977763, -105.1319296)",39.977763,-105.1319296
146,"Boston, MA","(42.3604823, -71.0595678)",42.3604823,-71.0595678
147,"Foxborough, MA","(42.0653768, -71.2478308)",42.0653768,-71.2478308
148,"Babson Park, MA","(42.2970161, -71.2550501)",42.2970161,-71.2550501
149,"Newton, MA","(42.3370414, -71.2092214)",42.3370414,-71.2092214
150,"Weston, MA","(42.3667625, -71.3031132)",42.3667625,-71.3031132
151,"Cambridge, MA","(42.3750997, -71.1056157)",42.3750997,-71.1056157
152,"Quincy, MA","(42.2528772, -71.0022705)",42.2528772,-71.0022705
153,"Southborough, MA","(42.3056501, -71.5245087)",42.3056501,-71.5245087
154,"Dedham, MA","(42.2417653, -71.166164)",42.2417653,-71.166164
155,"Waltham, MA","(42.3756401, -71.2358004)",42.3756401,-71.2358004
156,"Mansfield, MA","(42.0334326, -71.2189405)",42.0334326,-71.2189405
157,"Tewksbury, MA","(42.6106479, -71.2342248)",42.6106479,-71.2342248
158,"Framingham, MA","(42.2792625, -71.416172)",42.2792625,-71.416172
159,"Wilmington, MA","(42.5464828, -71.1736669)",42.5464828,-71.1736669
160,"North Reading, MA","(42.5750939, -71.0786653)",42.5750939,-71.0786653
161,"Burlington, MA","(42.5048167, -71.1956111)",42.5048167,-71.1956111
162,"Westwood, MA","(42.2139873, -71.2244987)",42.2139873,-71.2244987
163,"Natick, MA","(42.2836393, -71.346996)",42.2836393,-71.346996
164,"Wellesley Hills, MA","(42.3104264, -71.2770514)",42.3104264,-71.2770514
165,"Andover, MA","(42.65717, -71.1408776)",42.65717,-71.1408776
166,"Bedford, MA","(42.4917301, -71.2817947)",42.4917301,-71.2817947
167,"Norwood, MA","(42.194543, -71.1994976)",42.194543,-71.1994976
168,"Marlboro, MA","(42.7167588, -70.9731097)",42.7167588,-70.9731097
169,"Woburn, MA","(42.4792618, -71.1522766)",42.4792618,-71.1522766
170,"Hingham, MA","(42.2417669, -70.8897676)",42.2417669,-70.8897676
171,"Wellesley, MA","(42.2964859, -71.2925571)",42.2964859,-71.2925571
172,"Somerville, MA","(42.3875968, -71.0994968)",42.3875968,-71.0994968
173,"Rockland, MA","(42.1306563, -70.9161551)",42.1306563,-70.9161551
174,"Lexington, MA","(42.4473175, -71.2245003)",42.4473175,-71.2245003
175,"Dorchester, MA","(42.2973205, -71.0744952)",42.2973205,-71.0744952
176,"Norwell, MA","(42.1617681, -70.7939307)",42.1617681,-70.7939307
177,"Billerica, MA","(42.5584264, -71.268947)",42.5584264,-71.268947
178,"Watertown, MA","(42.3709299, -71.1828321)",42.3709299,-71.1828321
179,"New York, NY","(40.7306458, -73.9866136)",40.7306458,-73.9866136
180,"White Plains, NY","(41.0339862, -73.7629097)",41.0339862,-73.7629097
181,"Lawrence, NY","(40.6156599, -73.7295763)",40.6156599,-73.7295763
182,"Hauppauge, NY","(40.8256537, -73.2026138)",40.8256537,-73.2026138
183,"Syracuse, NY","(43.0481221, -76.1474244)",43.0481221,-76.1474244
184,"Purchase, NY","(41.0409305, -73.7145746)",41.0409305,-73.7145746
185,"Ronkonkoma, NY","(40.8153761, -73.112333)",40.8153761,-73.112333
186,"Manhattan, NY","(40.7902778, -73.9597222)",40.7902778,-73.9597222
187,"Albany, NY","(42.6511674, -73.754968)",42.6511674,-73.754968
188,"Boston, NY","(42.6289495, -78.7375289)",42.6289495,-78.7375289
189,"Buffalo, NY","(42.8867166, -78.8783922)",42.8867166,-78.8783922
190,"Rochester, NY","(43.157285, -77.615214)",43.157285,-77.615214
191,"Bohemia, NY","(40.7694091, -73.1148664)",40.7694091,-73.1148664
192,"Brooklyn, NY","(40.6501038, -73.9495823)",40.6501038,-73.9495823
193,"Long Island, NY","(40.8517821, -73.0992277431)",40.8517821,-73.0992277431
194,"Saratoga Springs, NY","(43.0821793, -73.7853915)",43.0821793,-73.7853915
195,"Pittsford, NY","(43.090959, -77.515298)",43.090959,-77.515298
196,"Hawthorne, NY","(41.1073184, -73.7959667)",41.1073184,-73.7959667
197,"Alameda, CA","(37.6090291, -121.899142)",37.6090291,-121.899142
198,"Novato, CA","(38.1061979, -122.5681191)",38.1061979,-122.5681191
199,"Westwood, CA","(40.3024675, -121.010399251458)",40.3024675,-121.010399251458
200,"Santa Fe Springs, CA","(33.9482434, -118.0676103)",33.9482434,-118.0676103
201,"North Hollywood, CA","(34.1729044, -118.3740371)",34.1729044,-118.3740371
202,"Anaheim, CA","(33.8347516, -117.911732)",33.8347516,-117.911732
203,"Issaquah, WA","(47.5348778, -122.0432974)",47.5348778,-122.0432974
204,"Renton, WA","(47.4799078, -122.2034496)",47.4799078,-122.2034496
205,"Canby, OR","(45.2629088, -122.6925983)",45.2629088,-122.6925983
206,"Falls Church, VA","(38.882334, -77.1710914)",38.882334,-77.1710914
207,"Annapolis Junction, MD","(39.11899645, -76.7963417455609)",39.11899645,-76.7963417455609
208,"Columbia, MD","(39.19391955, -76.8747722901238)",39.19391955,-76.8747722901238
209,"Oakbrook Terrace, IL","(41.8500302, -87.9645077)",41.8500302,-87.9645077
210,"Wheaton, IL","(41.8646959, -88.1101709)",41.8646959,-88.1101709
211,"Wheeling, IL","(42.1250895, -87.9292806729976)",42.1250895,-87.9292806729976
212,"Woodridge, IL","(41.7473663, -88.046129)",41.7473663,-88.046129
213,"Itasca, IL","(41.9751722, -88.0067509)",41.9751722,-88.0067509
214,"Stoughton, MA","(42.1250995, -71.1022712)",42.1250995,-71.1022712
215,"Canton, MA","(42.1584324, -71.1447732)",42.1584324,-71.1447732
216,"Chelmsford, MA","(42.5998139, -71.3672838)",42.5998139,-71.3672838
217,"Marlborough, MA","(42.3459271, -71.5522874)",42.3459271,-71.5522874
218,"Auburndale, MA","(42.3464455, -71.2486927)",42.3464455,-71.2486927
219,"Olean, NY","(42.077565, -78.4297419)",42.077565,-78.4297419
220,"Depew, NY","(42.9022047, -78.6956723)",42.9022047,-78.6956723
221,"Malta, NY","(42.9711869, -73.7926207)",42.9711869,-73.7926207
222,"Orangeburg, NY","(41.0465776, -73.9496707)",41.0465776,-73.9496707
224,"Blauvelt, NY","(41.0634299, -73.9576378)",41.0634299,-73.9576378
225,"Elmhurst, NY","(40.7365804, -73.8783932)",40.7365804,-73.8783932
226,"Hayward, CA","(37.6688205, -122.0807964)",37.6688205,-122.0807964
227,"Van Nuys, CA","(34.1866581, -118.448729)",34.1866581,-118.448729
228,"Walnut, CA","(34.0202894, -117.8653386)",34.0202894,-117.8653386
229,"Compton, CA","(33.894927, -118.226624)",33.894927,-118.226624
230,"Hollywood, CA","(34.1028268, -118.3299899)",34.1028268,-118.3299899
231,"Lynwood, CA","(33.9303225, -118.2114933)",33.9303225,-118.2114933
232,"Ballston, VA","(38.8831218, -77.1100937)",38.8831218,-77.1100937
233,"Crystal City, VA","(38.8579043, -77.0502898)",38.8579043,-77.0502898
234,"University Park, IL","(41.4400344, -87.683377)",41.4400344,-87.683377
235,"Broadview, IL","(41.8639201, -87.8533931)",41.8639201,-87.8533931
236,"Beverly, MA","(42.5584284, -70.8800491)",42.5584284,-70.8800491
237,"Niskayuna, NY","(42.7797995, -73.8456775)",42.7797995,-73.8456775
238,"Cortland, NY","(42.5842136, -76.0704906)",42.5842136,-76.0704906
239,"Ithaca, NY","(42.4396039, -76.4968019)",42.4396039,-76.4968019
240,"Tarrytown, NY","(41.0762077, -73.8587461)",41.0762077,-73.8587461
241,"Bronx, NY","(40.85703325, -73.8366961598775)",40.85703325,-73.8366961598775
242,"Cedar Park, TX","(30.5217116, -97.827833)",30.5217116,-97.827833
243,"Emeryville, CA","(37.8314089, -122.2865266)",37.8314089,-122.2865266
244,"Burlingame, CA","(37.5841026, -122.3660825)",37.5841026,-122.3660825
245,"Cypress, CA","(33.8248235, -118.0399368)",33.8248235,-118.0399368
246,"Canoga Park, CA","(34.2010776, -118.5978259)",34.2010776,-118.5978259
247,"Manhattan Beach, CA","(33.895497, -118.400345)",33.895497,-118.400345
248,"Fort Meade, MD","(39.10517, -76.7476152974745)",39.10517,-76.7476152974745
249,"Upper Marlboro, MD","(38.8165274, -76.7519753)",38.8165274,-76.7519753
250,"Chevy Chase, MD","(38.9932072, -77.0743833)",38.9932072,-77.0743833
251,"Bristow, VA","(38.7233263, -77.5365669)",38.7233263,-77.5365669
252,"Berwyn, IL","(41.8505874, -87.7936685)",41.8505874,-87.7936685
253,"Skokie, IL","(42.0333694, -87.7333972)",42.0333694,-87.7333972
254,"Brighton, CO","(39.9852617, -104.8205283)",39.9852617,-104.8205283
255,"Chelsea, MA","(42.3917638, -71.0328284)",42.3917638,-71.0328284
256,"Danvers, MA","(42.5750946, -70.9300507)",42.5750946,-70.9300507
257,"Westford, MA","(42.5792583, -71.4378411)",42.5792583,-71.4378411
258,"Concord, MA","(42.4605189, -71.3488963)",42.4605189,-71.3488963
259,"Greenlawn, NY","(40.8689871, -73.3651185)",40.8689871,-73.3651185
260,"Melville, NY","(40.7934322, -73.4151214)",40.7934322,-73.4151214
261,"Yonkers, NY","(40.9312099, -73.8987469)",40.9312099,-73.8987469
262,"Valley Stream, NY","(40.6642699, -73.7084645)",40.6642699,-73.7084645
263,"Queens, NY","(40.6524927, -73.7914214158161)",40.6524927,-73.7914214158161
264,"Brentwood, NY","(40.7812093, -73.2462273)",40.7812093,-73.2462273
265,"Port Washington, NY","(40.8256561, -73.6981858)",40.8256561,-73.6981858
266,"Islandia, NY","(40.8042649, -73.1690019)",40.8042649,-73.1690019
267,"Hicksville, NY","(40.7684331, -73.5251253)",40.7684331,-73.5251253
268,"Milwaukie, OR","(45.4453901, -122.6392889)",45.4453901,-122.6392889
269,"Largo, MD","(38.8824538, -76.8285745650011)",38.8824538,-76.8285745650011
270,"Jefferson County, CO","(39.5699803, -105.2561919)",39.5699803,-105.2561919
271,"Peabody, MA","(42.5278731, -70.9286609)",42.5278731,-70.9286609
272,"Hunters Creek Village, TX","(29.7705062, -95.4954973)",29.7705062,-95.4954973
273,"El Monte, CA","(34.0751571, -118.036849)",34.0751571,-118.036849
274,"Webster, NY","(43.212285, -77.429994)",43.212285,-77.429994
275,"Elmira, NY","(42.0897965, -76.8077338)",42.0897965,-76.8077338
276,"Menlo Park, CA","(37.4538274, -122.1821871)",37.4538274,-122.1821871
277,"Belmont, CA","(37.5202145, -122.2758008)",37.5202145,-122.2758008
278,"Daly City, CA","(37.7057671, -122.4619205)",37.7057671,-122.4619205
279,"Arcadia, CA","(34.1362075, -118.0401497)",34.1362075,-118.0401497
280,"Carson, CA","(33.8322043, -118.2517547)",33.8322043,-118.2517547
281,"Bothell, WA","(47.759853, -122.2068217)",47.759853,-122.2068217
282,"Beltsville, MD","(39.0299081, -76.9149547)",39.0299081,-76.9149547
283,"Abbott Park, IL","(42.2914372, -87.896473)",42.2914372,-87.896473
284,"Newton Center, MA","(42.3306528, -71.1994989)",42.3306528,-71.1994989
285,"Medford, MA","(42.4184296, -71.1061639)",42.4184296,-71.1061639
286,"Syosset, NY","(40.8262101, -73.502068)",40.8262101,-73.502068
287,"Poughkeepsie, NY","(41.7065779, -73.9284101)",41.7065779,-73.9284101
288,"Northeast, NY","(41.9167594, -73.5662363)",41.9167594,-73.5662363
289,"Alden, NY","(42.9000596, -78.4919671)",42.9000596,-78.4919671
290,"Deer Park, NY","(40.7617653, -73.3292858)",40.7617653,-73.3292858
291,"Amherst, NY","(42.9783924, -78.7997616)",42.9783924,-78.7997616
292,"Woodside, NY","(42.5217281, -78.7650292)",42.5217281,-78.7650292
293,"Clifton Park, NY","(42.8656325, -73.7709535)",42.8656325,-73.7709535
294,"Long Island City, NY","(40.7455316, -73.9484995)",40.7455316,-73.9484995
295,"Niagara Falls, NY","(43.1030928, -79.0302618)",43.1030928,-79.0302618
296,"Stony Brook, NY","(40.9256538, -73.140943)",40.9256538,-73.140943
297,"Ross, CA","(37.9624239, -122.5549775)",37.9624239,-122.5549775
298,"Irwindale, CA","(34.1069527, -117.9353413)",34.1069527,-117.9353413
299,"Redondo Beach, CA","(33.8455911, -118.3886766)",33.8455911,-118.3886766
300,"Ashburn, VA","(39.0437192, -77.4874899)",39.0437192,-77.4874899
301,"Burr Ridge, IL","(41.7489203, -87.9183919)",41.7489203,-87.9183919
302,"Lynnfield, MA","(42.5389836, -71.0481084)",42.5389836,-71.0481084
303,"Everett, MA","(42.40843, -71.0536625)",42.40843,-71.0536625
304,"Whitestone, NY","(40.7945457, -73.8184674)",40.7945457,-73.8184674
305,"Utica, NY","(43.1009031, -75.2326641)",43.1009031,-75.2326641
306,"New Hartford, NY","(43.073653, -75.287933)",43.073653,-75.287933
307,"Holtsville, NY","(40.8153762, -73.0451085)",40.8153762,-73.0451085
308,"Suffern, NY","(41.1151372, -74.1493948)",41.1151372,-74.1493948
309,"San Mateo County, CA","(37.496904, -122.3330573)",37.496904,-122.3330573
310,"Waldorf, MD","(38.6263882, -76.9106581)",38.6263882,-76.9106581
311,"Arlington Heights, IL","(42.0812678, -87.9800662)",42.0812678,-87.9800662
312,"McCook, IL","(40.201542, -100.625654)",40.201542,-100.625654
313,"Maywood, IL","(41.8791979, -87.8431155)",41.8791979,-87.8431155
314,"Acton, MA","(42.4850931, -71.43284)",42.4850931,-71.43284
315,"Menands, NY","(42.6920233, -73.7245639)",42.6920233,-73.7245639
316,"New Hyde Park, NY","(40.7351019, -73.6879082)",40.7351019,-73.6879082
317,"Valhalla, NY","(41.0748189, -73.7751326)",41.0748189,-73.7751326
318,"Horseheads, NY","(42.167019, -76.8205119)",42.167019,-76.8205119
319,"Victor, NY","(42.9825634, -77.4088794)",42.9825634,-77.4088794
320,"Plainview, NY","(40.7764882, -73.4673455)",40.7764882,-73.4673455
321,"Williamsville, NY","(42.9637836, -78.7377258)",42.9637836,-78.7377258
322,"Hercules, CA","(38.0171441, -122.2885808)",38.0171441,-122.2885808
323,"Commerce, CA","(34.002581, -118.156586)",34.002581,-118.156586
324,"Hawthorne, CA","(33.911454, -118.34816)",33.911454,-118.34816
325,"Inglewood, CA","(33.96185, -118.3550377)",33.96185,-118.3550377
326,"Laurel, MD","(39.0992752, -76.8483061)",39.0992752,-76.8483061
327,"Naperville, IL","(41.7729107, -88.147867)",41.7729107,-88.147867
328,"Braintree, MA","(42.2223218, -70.999492)",42.2223218,-70.999492
329,"Lowell, MA","(42.6334247, -71.3161718)",42.6334247,-71.3161718
330,"Roxbury, MA","(42.3248426, -71.0950158)",42.3248426,-71.0950158
331,"East Syracuse, NY","(43.0653446, -76.0785332)",43.0653446,-76.0785332
332,"Plattekill, NY","(41.6173567, -74.0761622)",41.6173567,-74.0761622
333,"Corning, NY","(42.1428521, -77.0546903)",42.1428521,-77.0546903
334,"Clarence, NY","(42.9769726, -78.5920377)",42.9769726,-78.5920377
335,"Smithtown, NY","(40.8559314, -73.2006687)",40.8559314,-73.2006687
336,"Rye Brook, NY","(41.0192641, -73.6834621)",41.0192641,-73.6834621
337,"Allston, MA","(42.3554344, -71.1321271)",42.3554344,-71.1321271
338,"New Rochelle, NY","(40.9115386, -73.7826363)",40.9115386,-73.7826363
339,"Richmond, CA","(37.9357576, -122.3477486)",37.9357576,-122.3477486
340,"Silver Spring, MD","(38.9959081, -77.0288918)",38.9959081,-77.0288918
341,"Danville, CA","(37.8215929, -121.9999606)",37.8215929,-121.9999606
342,"Encino, CA","(34.1591324, -118.5016166)",34.1591324,-118.5016166
343,"Willow Springs, IL","(34.87831, -118.2967447)",34.87831,-118.2967447
344,"Armonk, NY","(41.1264849, -73.7140195)",41.1264849,-73.7140195
345,"Bellport, NY","(40.7570429, -72.9392727)",40.7570429,-72.9392727
346,"Friendswood, TX","(29.5293998, -95.2010447)",29.5293998,-95.2010447
347,"Duarte, CA","(34.1394513, -117.9772873)",34.1394513,-117.9772873
348,"National Harbor, MD","(38.78343595, -77.0141419981481)",38.78343595,-77.0141419981481
349,"Randolph, MA","(42.1625997, -71.0411588)",42.1625997,-71.0411588
350,"Winchester, MA","(42.4523178, -71.1369982)",42.4523178,-71.1369982
351,"Needham Heights, MA","(42.2934385, -71.2359901)",42.2934385,-71.2359901
352,"Malone, NY","(44.84881, -74.295044)",44.84881,-74.295044
353,"Harrison, NY","(40.9689871, -73.71263)",40.9689871,-73.71263
354,"Orchard Park, NY","(42.7670376, -78.7435517)",42.7670376,-78.7435517
